display_name,canonical_repo_or_product,url,category,provenance,decision,rationale,license_or_terms,lifecycle_note
gstack,garrytan/gstack,https://github.com/garrytan/gstack,coding workflow / skill system,explicitly user-supplied,ADOPT NOW,Use a profiled subset as the primary product-build and review workflow; keep deploy and team auto-update features opt-in.,MIT,Active; latest observed 2026-07-15.
Everything Claude Code (ECC),affaan-m/ECC,https://github.com/affaan-m/ECC,cross-agent skill/operator system,explicitly user-supplied,PILOT,"Test one minimal selective profile for cross-harness packaging, audits, memory discipline, and quality gates before promoting individual capabilities.",MIT,Active v2 line; latest observed 2026-07-14. Former affaan-m/everything-claude-code URL redirects here.
WorldFlowAI Everything Claude Code,WorldFlowAI/everything-claude-code,https://github.com/WorldFlowAI/everything-claude-code,skill pack mirror / adaptation,recovered project list; attribution unresolved,DO NOT USE,Exclude the stale unofficial adaptation; canonical ECC is newer and has clearer provenance and licensing.,README claims MIT; no LICENSE file found,Last observed 2026-01-23; materially behind canonical ECC.
Superpowers,obra/superpowers,https://github.com/obra/superpowers,coding workflow / skill system,recovered project list; attribution unresolved,HARVEST,"Adapt systematic debugging, verification-before-completion, worktree setup, and staged review without globally imposing its full mandatory workflow.",MIT,Active; v6.1.1 and latest observed 2026-07-02.
Cavekit,JuliusBrussee/cavekit,https://github.com/JuliusBrussee/cavekit,spec workflow / skills,recovered project list; attribution unresolved,HARVEST,"Adapt compact SPEC.md, invariants, proof, drift checks, and bug-backprop into namespaced internal skills.",MIT,Active v4.1 line; latest observed 2026-06-18.
GitHub Spec Kit,github/spec-kit,https://github.com/github/spec-kit,spec-driven development,recovered project list; attribution unresolved,PILOT,Run one greenfield or isolated module trial and reuse its preset/adapter architecture regardless of runtime adoption.,MIT,Active release and extension ecosystem; latest observed 2026-07-17.
Claude Guardrails,dwarvesf/claude-guardrails,https://github.com/dwarvesf/claude-guardrails,security guardrails,recovered project list; attribution unresolved,ADOPT NOW,"Use the Lite profile for trusted repos, verify hook/settings diffs, and retain OS/container sandboxing as the real boundary.",MIT,v0.4.0; latest observed 2026-06-04.
OpenHands legacy umbrella repo,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,coding agent / agent canvas umbrella,recovered user-supplied batch,WATCH,Track the source transition; reassess only if the selected session control plane cannot handle remote or always-on backends.,MIT except separately licensed enterprise/,Beta and transitioning source to software-agent-sdk and agent-canvas; latest observed 2026-07-17.
Open SWE,langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,internal coding agent platform,recovered user-supplied batch,PILOT,Pilot later on one low-risk repo when Slack/GitHub invocation and cloud sandboxes solve a measured need; draft PR only.,MIT,Active; latest observed 2026-07-17.
SWE-agent,SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,research coding agent,recovered user-supplied batch,DO NOT USE,Do not adopt the superseded runtime; use its benchmark ideas and separately evaluate mini-SWE-agent if needed.,MIT,Latest observed 2026-07-16; upstream says mini-swe-agent supersedes it.
Aider,Aider-AI/aider,https://github.com/Aider-AI/aider,terminal coding agent,recovered user-supplied batch,PILOT,Compare on bounded non-critical tasks as a lower-cost multi-provider fallback with automatic commits disabled.,Apache-2.0,Mature beta package; latest observed 2026-05-22.
Open Interpreter,openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,terminal coding agent,recovered user-supplied project mention,PILOT,Benchmark as a provider-neutral low-cost fallback on the same bounded tasks as Aider and keep only the better lane.,Apache-2.0,Active new Rust/Codex-derived line; latest observed 2026-07-17.
Continue,continuedev/continue,https://github.com/continuedev/continue,IDE / coding agent,recovered user-supplied project mention,DO NOT USE,Do not start new work on a read-only final release that is fully duplicated by active agents.,Apache-2.0,Final 2.0; read-only and no longer actively maintained as of 2026-06-19.
Cline,cline/cline,https://github.com/cline/cline,IDE / coding agent,recovered user-supplied project mention,WATCH,"Harvest Plan/Act, checkpoints, and provider-neutral patterns; install only for a concrete Cline-only capability because it overlaps the selected stack.",Apache-2.0,Highly active; latest observed 2026-07-17.
Agent Orchestrator,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,coding-agent control plane,recovered project list; attribution unresolved,PILOT,"Run as the sole local Claude/Codex session and worktree control plane for three representative tasks; promote only if it reduces relay burden without harming PR safety, keep auto-merge off, and review telemetry.",Apache-2.0,Active desktop line; latest observed 2026-07-17. Former ComposioHQ URL redirects here; old npm CLI is frozen.
AI Maestro,23blocks-OS/ai-maestro,https://github.com/23blocks-OS/ai-maestro,multi-machine agent control plane,recovered project list; attribution unresolved,WATCH,Revisit only if the chosen local control plane cannot satisfy real multi-machine operation; current footprint is excessive.,MIT,README v0.35.54; latest observed 2026-06-13.
Octogent,hesamsheikh/octogent,https://github.com/hesamsheikh/octogent,agent orchestration / context UI,recovered project list; attribution unresolved,HARVEST,"Reuse scoped context, todo, and durable handoff conventions; avoid the early Claude-only runtime.",MIT,Latest observed 2026-04-20; not published to npm at review.
OpenAgents collaboration OS,openagents-org/openagents,https://github.com/openagents-org/openagents,shared agent collaboration plane,recovered project list; attribution unresolved,WATCH,Reconsider only if GitHub Agent HQ plus the local session UI cannot support required shared-thread collaboration.,Apache-2.0,Active develop branch; latest observed 2026-07-14.
Parallel Code,johannesjo/parallel-code,https://github.com/johannesjo/parallel-code,coding-agent desktop control plane,recovered project list; attribution unresolved,WATCH,Retain as a simpler fallback if Agent Orchestrator fails; do not operate both control planes.,MIT,Active on macOS/Linux; latest observed 2026-07-17.
Mission Control,builderz-labs/mission-control,https://github.com/builderz-labs/mission-control,agent governance dashboard,recovered user-supplied batch,WATCH,Harvest completion-receipt and governance ideas; avoid an alpha control plane that duplicates AccentOS scope.,MIT,Explicitly alpha; latest observed 2026-07-17.
AgentField,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,distributed agent control plane,recovered user-supplied batch,WATCH,"Revisit at genuine production distributed-agent scale, not for the current repo family.",Apache-2.0,Release-candidate line v0.1.110-rc.4; latest observed 2026-07-17.
Agent Zero,agent0ai/agent-zero,https://github.com/agent0ai/agent-zero,desktop / autonomous agent,recovered user-supplied batch,PILOT,Run only in an isolated container or dedicated machine on a bounded low-risk workflow; no production credentials.,MIT,Active launcher v1.3 line; latest observed 2026-07-17.
Hermes Agent,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,personal / learning agent,recovered user-supplied batch,WATCH,Harvest learning-loop and skill-isolation patterns; avoid adding another very broad always-on runtime beside OpenClaw.,MIT,Very active; latest observed 2026-07-17.
OpenClaw,openclaw/openclaw,https://github.com/openclaw/openclaw,always-on personal/business agent,recovered user-supplied batch,PILOT,"Pilot one private channel with no production credentials, preferably inside the NemoClaw/OpenShell safety wrapper on a dedicated machine or VM.",MIT,Very active; latest observed 2026-07-17.
MetaGPT,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,multi-agent framework,recovered user-supplied batch,HARVEST,"Reuse role decomposition, artifacts, and evaluation ideas without adding a low-activity multi-agent runtime.",MIT,Low recent activity; latest observed 2026-01-21. Canonical destination of earlier geekan identity.
OpenManus,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,autonomous agent prototype,recovered user-supplied batch,DO NOT USE,Exclude the stale unstable prototype; stronger maintained choices cover the same capability.,MIT,Simple prototype with unstable flow; latest observed 2026-01-04.
Microsoft Agent Framework,microsoft/agent-framework,https://github.com/microsoft/agent-framework,agent application framework,recovered user-supplied batch,WATCH,Reconsider for a bounded pilot only if Azure/Foundry becomes the primary deployment environment.,MIT,Production-ready 1.0 line; latest observed 2026-07-17.
Google ADK,google/adk-python,https://github.com/google/adk-python,agent application framework,recovered user-supplied batch,WATCH,Track while ADK 2.0 settles; use only for a concrete Google deployment requirement.,Apache-2.0,Active bi-weekly cadence; latest observed 2026-07-17.
OpenAI Agents SDK,openai/openai-agents-python,https://github.com/openai/openai-agents-python,agent application SDK,recovered user-supplied batch,ADOPT NOW,Use as the default SDK only when a product feature actually requires an embedded agent service; keep permissions application-owned.,MIT,Active; latest observed 2026-07-17.
AIOS,agiresearch/AIOS,https://github.com/agiresearch/AIOS,research agent operating system,recovered user-supplied batch,HARVEST,"Study scheduler, kernel, and resource-governance concepts but copy no code until licensing is valid.",Root LICENSE file was empty at review,Research/prototype stack; latest observed 2026-06-22.
LangGraph,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,durable agent workflow runtime,recovered user-supplied batch,PILOT,"Pilot only when a real workflow requires durable graph state, checkpoints, and resumability beyond the default SDK.",MIT,Mature and active; latest observed 2026-07-15.
CrewAI,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,multi-agent framework,recovered user-supplied batch,WATCH,"Track, but avoid a second multi-agent abstraction until a measured production workflow warrants it.",MIT,Active v1.15.4 line; latest observed 2026-07-17.
AutoGen,microsoft/autogen,https://github.com/microsoft/autogen,multi-agent framework,recovered user-supplied batch,DO NOT USE,Do not start new work on an officially maintenance-mode framework when Microsoft Agent Framework supersedes it.,MIT code; CC BY 4.0 documentation,Official maintenance mode; latest observed 2026-04-06.
LangChain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,LLM integration framework,recovered user-supplied batch,WATCH,Use only a narrow package for a required integration; do not make the broad framework the default architecture.,MIT,Active; latest observed 2026-07-17.
E2B,e2b-dev/E2B,https://github.com/e2b-dev/E2B,cloud agent sandbox,recovered user-supplied batch,PILOT,Evaluate as a metered sandbox provider only for tasks that need stronger isolation than local worktrees/containers.,Apache-2.0,Active; latest observed 2026-07-17.
Container Use,dagger/container-use,https://github.com/dagger/container-use,local agent sandbox,recovered user-supplied batch,PILOT,Test one higher-risk or dependency-heavy task after worktree-only orchestration is working.,Apache-2.0,Explicitly experimental; latest observed 2026-06-12.
LLM Council,karpathy/llm-council,https://github.com/karpathy/llm-council,multi-model evaluation pattern,explicitly user-supplied,HARVEST,"Reuse independent proposals, blinded peer review, and synthesis patterns; do not depend on unsupported unlicensed code.",No license found,Author describes it as unsupported/as-is; latest observed 2025-11-22.
CodeBurn,getagentseal/codeburn,https://github.com/getagentseal/codeburn,agent cost and usage analytics,recovered project mention,ADOPT NOW,"Run read-only to baseline cost, tokens, model/task performance, and shipped yield before enabling any optimizer changes.",MIT,Active desktop v0.9.16 line; latest observed 2026-07-17.
Anthropic Skills,anthropics/skills,https://github.com/anthropics/skills,official skill format / examples,recovered project mention,HARVEST,"Use as the canonical skill-shape reference and adopt only individually compatible, tested skills.",Mixed: many Apache-2.0; docx/pdf/pptx/xlsx have separate source-available terms,Active; latest observed 2026-07-17. License must be checked per directory.
Awesome Agent Skills,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,skill discovery catalog,recovered project mention,ADOPT NOW,"Use only as a read-only discovery source; every linked skill receives separate provenance, license, and executable review.",MIT for the index; linked projects vary,"Active catalog of 1,000+ skills; latest observed 2026-07-10."
Claude Skills collection,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,large skill pack,recovered project mention,PILOT,Review and trial only three to five named skills; never run the full global synchronization.,MIT at repository level,Highly active v2.9.0 line; latest observed 2026-07-17.
Awesome Claude Skills,travisvn/awesome-claude-skills,https://github.com/travisvn/awesome-claude-skills,skill discovery catalog,recovered project mention,WATCH,Keep as a secondary lead source; do not vendor or treat links as endorsements.,No repository license found; linked projects vary,Latest observed 2026-04-28; no releases.
Awesome OpenClaw Skills,VoltAgent/awesome-openclaw-skills,https://github.com/VoltAgent/awesome-openclaw-skills,skill discovery catalog,recovered user-supplied batch,DO NOT USE,Do not use as an install source; at most harvest capability categories because listed skills are not security-audited.,MIT for the index; linked projects vary,"Active index of roughly 5,300+ skills; latest observed 2026-07-16."
Awesome DESIGN.md,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,design-system pattern catalog,recovered user-supplied batch,HARVEST,Use its structure for a durable DESIGN.md while avoiding copied brand identities and assets.,MIT for repository content; referenced brand rights remain separate,Active; latest observed 2026-06-16.
Obsidian Skills,kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,knowledge-vault skills,recovered user-supplied batch,ADOPT NOW,"Pin and enable Markdown, Bases, and Canvas skills selectively; keep CLI/Defuddle optional.",MIT,Latest observed 2026-06-08.
Google Workspace CLI,googleworkspace/cli,https://github.com/googleworkspace/cli,workspace automation CLI,recovered user-supplied batch,PILOT,Use a test identity and least-privilege read-only OAuth to prove value beyond existing connectors before permitting writes.,Apache-2.0,"Pre-1.0 and not an officially supported Google product; v0.22.5, latest observed 2026-03-31."
Firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,web extraction / crawling,recovered user-supplied batch,PILOT,Test only after a recurring retrieval gap is measured; prefer hosted bounded use over self-hosting the multi-service stack.,AGPL-3.0 server; hosted/commercial capabilities have separate terms,Very active v2.11.0 line; latest observed 2026-07-17.
agent-browser,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,agent browser automation,recovered user-supplied batch,PILOT,"Compare two public/local flows against Playwright on reliability, tokens, evidence, and maintenance; keep Playwright for durable tests.",Apache-2.0,Fast-moving pre-1.0 v0.32.1; latest observed 2026-07-16.
RAG-Anything,HKUDS/RAG-Anything,https://github.com/HKUDS/RAG-Anything,multimodal RAG / knowledge graph,recovered user-supplied batch,WATCH,Revisit only after simpler Docling plus search fails a measured retrieval benchmark.,MIT,Active v1.3.1 line; latest observed 2026-07-09.
llmfit,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,local model selection,recovered user-supplied batch,WATCH,Pilot only after available hardware and a concrete privacy/offline task are documented.,MIT,Very active v1.1.3; latest observed 2026-07-17.
CLI-Anything,HKUDS/CLI-Anything,https://github.com/HKUDS/CLI-Anything,CLI generation harness,recovered user-supplied batch,PILOT,Apply the seven-phase method to one sandboxed reversible unsupported-app workflow; never import all community harnesses.,Apache-2.0,Active v0.4.0; latest observed 2026-07-09.
Docling,docling-project/docling,https://github.com/docling-project/docling,local document ingestion,recovered user-supplied batch,ADOPT NOW,"Use as the version-pinned sandboxed canonical local parser; store reviewed derived knowledge, not raw sensitive corpora, in shared repos.",MIT code; downloaded models/assets may have separate terms,Very active v2.113.0; latest observed 2026-07-17.
Unstructured,Unstructured-IO/unstructured,https://github.com/Unstructured-IO/unstructured,document ETL / ingestion,recovered user-supplied batch,WATCH,Retain as a fallback for a format or connector Docling cannot satisfy; do not run two equal canonical parsers.,Apache-2.0,Active v0.24.1; latest observed 2026-07-15.
Gemini CLI,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,coding agent CLI,recovered user-supplied batch,WATCH,"Keep catalogued for enterprise or migration needs, but do not select for consumer use after individual-tier serving ended; evaluate Antigravity CLI instead.",Apache-2.0,"Repo remained active at review, but Google officially ended individual-tier serving on 2026-06-18 and directs users to Antigravity CLI."
Obsidian Local REST API,coddingtonbear/obsidian-local-rest-api,https://github.com/coddingtonbear/obsidian-local-rest-api,knowledge-vault API bridge,explicitly user-supplied,PILOT,"Run read-first against a copied vault, loopback HTTPS only, with allowlisted endpoints and secrets outside repos/logs.",MIT,Active v4.1.7; latest observed 2026-07-15.
Langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,LLM observability,recovered user-supplied batch,WATCH,Revisit only when a production-like LLM workflow has measured trace requirements; do not deploy alongside Phoenix by default.,MIT core; enterprise tree has separate terms,Very active v3.221.1; latest observed 2026-07-17.
Phoenix,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,LLM observability and evaluation,recovered user-supplied batch,PILOT,Use synthetic data for the first bounded observability trial when a named LLM workflow needs traces or experiments.,Elastic License 2.0 with patent/IP notices,Very active v18.1.0; latest observed 2026-07-17.
Promptfoo,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,prompt / skill / agent evaluation,recovered user-supplied batch,ADOPT NOW,"Use pinned repo-native activation, regression, negative, injection, and budgeted provider tests as the toolkit promotion gate.",MIT,Active v0.121.19; latest observed 2026-07-17.
Letta V1 server,letta-ai/letta,https://github.com/letta-ai/letta,stateful agent memory server,recovered user-supplied batch,DO NOT USE,Do not build on the legacy server; watch the current SDK only if a product workflow truly needs stateful agents.,Apache-2.0 for this repository,"Legacy V1 direction; active development moved elsewhere, latest observed 2026-07-03."
Mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,agent memory layer,recovered user-supplied batch,WATCH,"Harvest its memory-evaluation approach; require consent, deletion, isolation, and benchmark proof before any future pilot.",Apache-2.0,Highly active; latest observed 2026-07-17; managed benchmarks include proprietary optimizations.
Microsoft GraphRAG,microsoft/graphrag,https://github.com/microsoft/graphrag,graph retrieval pipeline,recovered user-supplied project mention,PILOT,Benchmark one answer-scored bounded corpus against simpler hybrid retrieval; adopt only if quality justifies indexing cost.,MIT,Active v3.1.0; latest observed 2026-07-17; README frames it as a demonstration rather than supported product.
OpenMetadata,open-metadata/OpenMetadata,https://github.com/open-metadata/OpenMetadata,data catalog / governance,recovered user-supplied project mention,HARVEST,"Reuse glossary, metric, ownership, lineage, quality, and connector metadata; deploy only when manual governance demonstrably fails.",Apache-2.0,Highly active v1.13.1; latest observed 2026-07-17; heavy local/production footprint.
Repomix,yamadashy/repomix,https://github.com/yamadashy/repomix,repository context packaging,recovered project mention,ADOPT NOW,Use local allowlisted exports with built-in checks plus Gitleaks on the final bundle; prohibit online upload for sensitive repos.,MIT,Active v1.16.1; latest observed 2026-07-15.
Gitleaks,gitleaks/gitleaks,https://github.com/gitleaks/gitleaks,secret scanning,recovered project mention,ADOPT NOW,Pin a checksum-verified version as the baseline local artifact/repo scanner while preparing a measured Betterleaks comparison.,MIT,"Feature-complete/security-fixes-only; v8.30.1, latest observed 2026-07-01."
actionlint,rhysd/actionlint,https://github.com/rhysd/actionlint,GitHub Actions static analysis,recovered project mention,ADOPT NOW,Enable conditionally wherever Actions YAML exists; do not add workflows merely to use the linter.,MIT,Active v1.7.12; latest observed 2026-04-19.
Playwright,microsoft/playwright,https://github.com/microsoft/playwright,browser test framework,recovered project mention,ADOPT NOW,Use as the canonical checked-in browser regression and evidence framework; keep credentials out of traces.,Apache-2.0,Highly active v1.61.1; latest observed 2026-07-17.
